subset,image,label,source_image,source_label,bbox_count
train,data/yolo/0706_v2/images/train/frame_000000.png,data/yolo/0706_v2/labels/train/frame_000000.txt,exports/0706_v2/images/train/frame_000000.png,exports/0706_v2/labels/train/frame_000000.txt,7
train,data/yolo/0706_v2/images/train/frame_000030.png,data/yolo/0706_v2/labels/train/frame_000030.txt,exports/0706_v2/images/train/frame_000030.png,exports/0706_v2/labels/train/frame_000030.txt,7
train,data/yolo/0706_v2/images/train/frame_000060.png,data/yolo/0706_v2/labels/train/frame_000060.txt,exports/0706_v2/images/train/frame_000060.png,exports/0706_v2/labels/train/frame_000060.txt,7
train,data/yolo/0706_v2/images/train/frame_000090.png,data/yolo/0706_v2/labels/train/frame_000090.txt,exports/0706_v2/images/train/frame_000090.png,exports/0706_v2/labels/train/frame_000090.txt,7
train,data/yolo/0706_v2/images/train/frame_000120.png,data/yolo/0706_v2/labels/train/frame_000120.txt,exports/0706_v2/images/train/frame_000120.png,exports/0706_v2/labels/train/frame_000120.txt,7
train,data/yolo/0706_v2/images/train/frame_000150.png,data/yolo/0706_v2/labels/train/frame_000150.txt,exports/0706_v2/images/train/frame_000150.png,exports/0706_v2/labels/train/frame_000150.txt,7
train,data/yolo/0706_v2/images/train/frame_000180.png,data/yolo/0706_v2/labels/train/frame_000180.txt,exports/0706_v2/images/train/frame_000180.png,exports/0706_v2/labels/train/frame_000180.txt,7
train,data/yolo/0706_v2/images/train/frame_000210.png,data/yolo/0706_v2/labels/train/frame_000210.txt,exports/0706_v2/images/train/frame_000210.png,exports/0706_v2/labels/train/frame_000210.txt,7
train,data/yolo/0706_v2/images/train/frame_000240.png,data/yolo/0706_v2/labels/train/frame_000240.txt,exports/0706_v2/images/train/frame_000240.png,exports/0706_v2/labels/train/frame_000240.txt,7
train,data/yolo/0706_v2/images/train/frame_000300.png,data/yolo/0706_v2/labels/train/frame_000300.txt,exports/0706_v2/images/train/frame_000300.png,exports/0706_v2/labels/train/frame_000300.txt,7
train,data/yolo/0706_v2/images/train/frame_000360.png,data/yolo/0706_v2/labels/train/frame_000360.txt,exports/0706_v2/images/train/frame_000360.png,exports/0706_v2/labels/train/frame_000360.txt,7
train,data/yolo/0706_v2/images/train/frame_000390.png,data/yolo/0706_v2/labels/train/frame_000390.txt,exports/0706_v2/images/train/frame_000390.png,exports/0706_v2/labels/train/frame_000390.txt,7
train,data/yolo/0706_v2/images/train/frame_000420.png,data/yolo/0706_v2/labels/train/frame_000420.txt,exports/0706_v2/images/train/frame_000420.png,exports/0706_v2/labels/train/frame_000420.txt,7
train,data/yolo/0706_v2/images/train/frame_000450.png,data/yolo/0706_v2/labels/train/frame_000450.txt,exports/0706_v2/images/train/frame_000450.png,exports/0706_v2/labels/train/frame_000450.txt,8
train,data/yolo/0706_v2/images/train/frame_000510.png,data/yolo/0706_v2/labels/train/frame_000510.txt,exports/0706_v2/images/train/frame_000510.png,exports/0706_v2/labels/train/frame_000510.txt,8
train,data/yolo/0706_v2/images/train/frame_000540.png,data/yolo/0706_v2/labels/train/frame_000540.txt,exports/0706_v2/images/train/frame_000540.png,exports/0706_v2/labels/train/frame_000540.txt,8
train,data/yolo/0706_v2/images/train/frame_000630.png,data/yolo/0706_v2/labels/train/frame_000630.txt,exports/0706_v2/images/train/frame_000630.png,exports/0706_v2/labels/train/frame_000630.txt,8
train,data/yolo/0706_v2/images/train/frame_000660.png,data/yolo/0706_v2/labels/train/frame_000660.txt,exports/0706_v2/images/train/frame_000660.png,exports/0706_v2/labels/train/frame_000660.txt,7
train,data/yolo/0706_v2/images/train/frame_000720.png,data/yolo/0706_v2/labels/train/frame_000720.txt,exports/0706_v2/images/train/frame_000720.png,exports/0706_v2/labels/train/frame_000720.txt,7
train,data/yolo/0706_v2/images/train/frame_000750.png,data/yolo/0706_v2/labels/train/frame_000750.txt,exports/0706_v2/images/train/frame_000750.png,exports/0706_v2/labels/train/frame_000750.txt,5
train,data/yolo/0706_v2/images/train/frame_000780.png,data/yolo/0706_v2/labels/train/frame_000780.txt,exports/0706_v2/images/train/frame_000780.png,exports/0706_v2/labels/train/frame_000780.txt,5
train,data/yolo/0706_v2/images/train/frame_000810.png,data/yolo/0706_v2/labels/train/frame_000810.txt,exports/0706_v2/images/train/frame_000810.png,exports/0706_v2/labels/train/frame_000810.txt,5
train,data/yolo/0706_v2/images/train/frame_000840.png,data/yolo/0706_v2/labels/train/frame_000840.txt,exports/0706_v2/images/train/frame_000840.png,exports/0706_v2/labels/train/frame_000840.txt,6
train,data/yolo/0706_v2/images/train/frame_000870.png,data/yolo/0706_v2/labels/train/frame_000870.txt,exports/0706_v2/images/train/frame_000870.png,exports/0706_v2/labels/train/frame_000870.txt,6
train,data/yolo/0706_v2/images/train/frame_000900.png,data/yolo/0706_v2/labels/train/frame_000900.txt,exports/0706_v2/images/train/frame_000900.png,exports/0706_v2/labels/train/frame_000900.txt,6
train,data/yolo/0706_v2/images/train/frame_000930.png,data/yolo/0706_v2/labels/train/frame_000930.txt,exports/0706_v2/images/train/frame_000930.png,exports/0706_v2/labels/train/frame_000930.txt,6
train,data/yolo/0706_v2/images/train/frame_000960.png,data/yolo/0706_v2/labels/train/frame_000960.txt,exports/0706_v2/images/train/frame_000960.png,exports/0706_v2/labels/train/frame_000960.txt,6
train,data/yolo/0706_v2/images/train/frame_001020.png,data/yolo/0706_v2/labels/train/frame_001020.txt,exports/0706_v2/images/train/frame_001020.png,exports/0706_v2/labels/train/frame_001020.txt,5
train,data/yolo/0706_v2/images/train/frame_001050.png,data/yolo/0706_v2/labels/train/frame_001050.txt,exports/0706_v2/images/train/frame_001050.png,exports/0706_v2/labels/train/frame_001050.txt,5
train,data/yolo/0706_v2/images/train/frame_001110.png,data/yolo/0706_v2/labels/train/frame_001110.txt,exports/0706_v2/images/train/frame_001110.png,exports/0706_v2/labels/train/frame_001110.txt,5
train,data/yolo/0706_v2/images/train/frame_001170.png,data/yolo/0706_v2/labels/train/frame_001170.txt,exports/0706_v2/images/train/frame_001170.png,exports/0706_v2/labels/train/frame_001170.txt,5
train,data/yolo/0706_v2/images/train/frame_001200.png,data/yolo/0706_v2/labels/train/frame_001200.txt,exports/0706_v2/images/train/frame_001200.png,exports/0706_v2/labels/train/frame_001200.txt,5
train,data/yolo/0706_v2/images/train/frame_001230.png,data/yolo/0706_v2/labels/train/frame_001230.txt,exports/0706_v2/images/train/frame_001230.png,exports/0706_v2/labels/train/frame_001230.txt,5
train,data/yolo/0706_v2/images/train/frame_001260.png,data/yolo/0706_v2/labels/train/frame_001260.txt,exports/0706_v2/images/train/frame_001260.png,exports/0706_v2/labels/train/frame_001260.txt,5
train,data/yolo/0706_v2/images/train/frame_001290.png,data/yolo/0706_v2/labels/train/frame_001290.txt,exports/0706_v2/images/train/frame_001290.png,exports/0706_v2/labels/train/frame_001290.txt,4
train,data/yolo/0706_v2/images/train/frame_001320.png,data/yolo/0706_v2/labels/train/frame_001320.txt,exports/0706_v2/images/train/frame_001320.png,exports/0706_v2/labels/train/frame_001320.txt,4
train,data/yolo/0706_v2/images/train/frame_001350.png,data/yolo/0706_v2/labels/train/frame_001350.txt,exports/0706_v2/images/train/frame_001350.png,exports/0706_v2/labels/train/frame_001350.txt,4
train,data/yolo/0706_v2/images/train/frame_001380.png,data/yolo/0706_v2/labels/train/frame_001380.txt,exports/0706_v2/images/train/frame_001380.png,exports/0706_v2/labels/train/frame_001380.txt,4
train,data/yolo/0706_v2/images/train/frame_001410.png,data/yolo/0706_v2/labels/train/frame_001410.txt,exports/0706_v2/images/train/frame_001410.png,exports/0706_v2/labels/train/frame_001410.txt,4
train,data/yolo/0706_v2/images/train/frame_001440.png,data/yolo/0706_v2/labels/train/frame_001440.txt,exports/0706_v2/images/train/frame_001440.png,exports/0706_v2/labels/train/frame_001440.txt,4
train,data/yolo/0706_v2/images/train/frame_001470.png,data/yolo/0706_v2/labels/train/frame_001470.txt,exports/0706_v2/images/train/frame_001470.png,exports/0706_v2/labels/train/frame_001470.txt,4
