"subset","image","label","source_image","source_label","bbox_count"
"train","videos/blood_ps_particle_1/yolo/0706_v1/images/train/frame_000030.png","videos/blood_ps_particle_1/yolo/0706_v1/labels/train/frame_000030.txt","","","0"
"train","videos/blood_ps_particle_1/yolo/0706_v1/images/train/frame_000060.png","videos/blood_ps_particle_1/yolo/0706_v1/labels/train/frame_000060.txt","","","0"
"train","videos/blood_ps_particle_1/yolo/0706_v1/images/train/frame_000090.png","videos/blood_ps_particle_1/yolo/0706_v1/labels/train/frame_000090.txt","","","0"
"train","videos/blood_ps_particle_1/yolo/0706_v1/images/train/frame_000120.png","videos/blood_ps_particle_1/yolo/0706_v1/labels/train/frame_000120.txt","","","0"
"train","videos/blood_ps_particle_1/yolo/0706_v1/images/train/frame_000180.png","videos/blood_ps_particle_1/yolo/0706_v1/labels/train/frame_000180.txt","","","0"
"train","videos/blood_ps_particle_1/yolo/0706_v1/images/train/frame_000210.png","videos/blood_ps_particle_1/yolo/0706_v1/labels/train/frame_000210.txt","","","0"
"train","videos/blood_ps_particle_1/yolo/0706_v1/images/train/frame_000240.png","videos/blood_ps_particle_1/yolo/0706_v1/labels/train/frame_000240.txt","","","0"
"train","videos/blood_ps_particle_1/yolo/0706_v1/images/train/frame_000270.png","videos/blood_ps_particle_1/yolo/0706_v1/labels/train/frame_000270.txt","","","0"
"train","videos/blood_ps_particle_1/yolo/0706_v1/images/train/frame_000330.png","videos/blood_ps_particle_1/yolo/0706_v1/labels/train/frame_000330.txt","","","0"
"train","videos/blood_ps_particle_1/yolo/0706_v1/images/train/frame_000360.png","videos/blood_ps_particle_1/yolo/0706_v1/labels/train/frame_000360.txt","","","0"
"train","videos/blood_ps_particle_1/yolo/0706_v1/images/train/frame_000390.png","videos/blood_ps_particle_1/yolo/0706_v1/labels/train/frame_000390.txt","","","0"
"train","videos/blood_ps_particle_1/yolo/0706_v1/images/train/frame_000420.png","videos/blood_ps_particle_1/yolo/0706_v1/labels/train/frame_000420.txt","","","0"
"train","videos/blood_ps_particle_1/yolo/0706_v1/images/train/frame_000480.png","videos/blood_ps_particle_1/yolo/0706_v1/labels/train/frame_000480.txt","","","0"
"train","videos/blood_ps_particle_1/yolo/0706_v1/images/train/frame_000510.png","videos/blood_ps_particle_1/yolo/0706_v1/labels/train/frame_000510.txt","","","0"
"train","videos/blood_ps_particle_1/yolo/0706_v1/images/train/frame_000540.png","videos/blood_ps_particle_1/yolo/0706_v1/labels/train/frame_000540.txt","","","0"
"train","videos/blood_ps_particle_1/yolo/0706_v1/images/train/frame_000570.png","videos/blood_ps_particle_1/yolo/0706_v1/labels/train/frame_000570.txt","","","0"
"train","videos/blood_ps_particle_1/yolo/0706_v1/images/train/frame_000630.png","videos/blood_ps_particle_1/yolo/0706_v1/labels/train/frame_000630.txt","","","0"
"train","videos/blood_ps_particle_1/yolo/0706_v1/images/train/frame_000660.png","videos/blood_ps_particle_1/yolo/0706_v1/labels/train/frame_000660.txt","","","0"
