subset,image,label,source_image,source_label,bbox_count
train,videos/blood_ps_particle_1/yolo/0706_v2/images/train/frame_000000.png,videos/blood_ps_particle_1/yolo/0706_v2/labels/train/frame_000000.txt,videos/blood_ps_particle_1/exports/0706_v2/images/train/frame_000000.png,videos/blood_ps_particle_1/exports/0706_v2/labels/train/frame_000000.txt,7
train,videos/blood_ps_particle_1/yolo/0706_v2/images/train/frame_000030.png,videos/blood_ps_particle_1/yolo/0706_v2/labels/train/frame_000030.txt,videos/blood_ps_particle_1/exports/0706_v2/images/train/frame_000030.png,videos/blood_ps_particle_1/exports/0706_v2/labels/train/frame_000030.txt,7
train,videos/blood_ps_particle_1/yolo/0706_v2/images/train/frame_000060.png,videos/blood_ps_particle_1/yolo/0706_v2/labels/train/frame_000060.txt,videos/blood_ps_particle_1/exports/0706_v2/images/train/frame_000060.png,videos/blood_ps_particle_1/exports/0706_v2/labels/train/frame_000060.txt,7
train,videos/blood_ps_particle_1/yolo/0706_v2/images/train/frame_000090.png,videos/blood_ps_particle_1/yolo/0706_v2/labels/train/frame_000090.txt,videos/blood_ps_particle_1/exports/0706_v2/images/train/frame_000090.png,videos/blood_ps_particle_1/exports/0706_v2/labels/train/frame_000090.txt,7
train,videos/blood_ps_particle_1/yolo/0706_v2/images/train/frame_000120.png,videos/blood_ps_particle_1/yolo/0706_v2/labels/train/frame_000120.txt,videos/blood_ps_particle_1/exports/0706_v2/images/train/frame_000120.png,videos/blood_ps_particle_1/exports/0706_v2/labels/train/frame_000120.txt,7
train,videos/blood_ps_particle_1/yolo/0706_v2/images/train/frame_000150.png,videos/blood_ps_particle_1/yolo/0706_v2/labels/train/frame_000150.txt,videos/blood_ps_particle_1/exports/0706_v2/images/train/frame_000150.png,videos/blood_ps_particle_1/exports/0706_v2/labels/train/frame_000150.txt,7
train,videos/blood_ps_particle_1/yolo/0706_v2/images/train/frame_000180.png,videos/blood_ps_particle_1/yolo/0706_v2/labels/train/frame_000180.txt,videos/blood_ps_particle_1/exports/0706_v2/images/train/frame_000180.png,videos/blood_ps_particle_1/exports/0706_v2/labels/train/frame_000180.txt,7
train,videos/blood_ps_particle_1/yolo/0706_v2/images/train/frame_000210.png,videos/blood_ps_particle_1/yolo/0706_v2/labels/train/frame_000210.txt,videos/blood_ps_particle_1/exports/0706_v2/images/train/frame_000210.png,videos/blood_ps_particle_1/exports/0706_v2/labels/train/frame_000210.txt,7
train,videos/blood_ps_particle_1/yolo/0706_v2/images/train/frame_000240.png,videos/blood_ps_particle_1/yolo/0706_v2/labels/train/frame_000240.txt,videos/blood_ps_particle_1/exports/0706_v2/images/train/frame_000240.png,videos/blood_ps_particle_1/exports/0706_v2/labels/train/frame_000240.txt,7
train,videos/blood_ps_particle_1/yolo/0706_v2/images/train/frame_000300.png,videos/blood_ps_particle_1/yolo/0706_v2/labels/train/frame_000300.txt,videos/blood_ps_particle_1/exports/0706_v2/images/train/frame_000300.png,videos/blood_ps_particle_1/exports/0706_v2/labels/train/frame_000300.txt,7
train,videos/blood_ps_particle_1/yolo/0706_v2/images/train/frame_000360.png,videos/blood_ps_particle_1/yolo/0706_v2/labels/train/frame_000360.txt,videos/blood_ps_particle_1/exports/0706_v2/images/train/frame_000360.png,videos/blood_ps_particle_1/exports/0706_v2/labels/train/frame_000360.txt,7
train,videos/blood_ps_particle_1/yolo/0706_v2/images/train/frame_000390.png,videos/blood_ps_particle_1/yolo/0706_v2/labels/train/frame_000390.txt,videos/blood_ps_particle_1/exports/0706_v2/images/train/frame_000390.png,videos/blood_ps_particle_1/exports/0706_v2/labels/train/frame_000390.txt,7
train,videos/blood_ps_particle_1/yolo/0706_v2/images/train/frame_000420.png,videos/blood_ps_particle_1/yolo/0706_v2/labels/train/frame_000420.txt,videos/blood_ps_particle_1/exports/0706_v2/images/train/frame_000420.png,videos/blood_ps_particle_1/exports/0706_v2/labels/train/frame_000420.txt,7
train,videos/blood_ps_particle_1/yolo/0706_v2/images/train/frame_000450.png,videos/blood_ps_particle_1/yolo/0706_v2/labels/train/frame_000450.txt,videos/blood_ps_particle_1/exports/0706_v2/images/train/frame_000450.png,videos/blood_ps_particle_1/exports/0706_v2/labels/train/frame_000450.txt,8
train,videos/blood_ps_particle_1/yolo/0706_v2/images/train/frame_000510.png,videos/blood_ps_particle_1/yolo/0706_v2/labels/train/frame_000510.txt,videos/blood_ps_particle_1/exports/0706_v2/images/train/frame_000510.png,videos/blood_ps_particle_1/exports/0706_v2/labels/train/frame_000510.txt,8
